episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
61,100,5591.72642,101.00007,0.38648,28,24.64039,0.76976,0.0,0.18301,0.04723,14.0,0.86139,0.44554,0.41584,0.13861,1.0,0,7,0,14,345.24433,0.3815,50.98486
62,100,5667.20661,75.48019,0.48595,10,7.92,0.875,0.0,0.0,0.125,5.0,0.4085,0.20977,0.19873,0.5915,1.0,0,14,0,5,381.76769,0.69047,50.99253
63,100,5753.54001,86.3334,0.4652,21,16.632,0.875,0.0,0.0,0.125,14.0,0.76834,0.3861,0.38224,0.23166,1.0,0,10,0,12,403.98703,0.89422,48.02378
64,100,5825.20675,71.66674,0.44177,16,13.79298,0.93127,0.0,0.0,0.06873,7.0,0.69302,0.37209,0.32093,0.30698,1.0,0,11,0,7,313.01698,0.56801,50.00381
65,100,5925.54015,100.3334,0.4228,27,23.72349,0.94054,0.0,0.0,0.05946,12.0,0.84053,0.43189,0.40864,0.15947,1.0,0,8,0,14,338.96418,0.31129,49.02476
66,100,6004.20689,78.66674,0.46857,19,16.57822,0.89792,0.0,0.03535,0.06674,7.0,0.74576,0.40254,0.34322,0.25424,1.0,0,10,0,8,392.11371,0.46801,51.97137
67,100,6113.20695,109.00006,0.38293,30,28.21585,0.99615,0.0,0.0,0.00385,18.0,0.85321,0.45872,0.3945,0.14679,1.0,0,8,0,13,349.2211,0.02333,55.93489
68,100,6252.87367,139.66672,0.4432,42,39.77807,1.0,0.0,0.0,0.0,23.0,0.94272,0.47733,0.46539,0.05728,1.0,0,4,0,23,334.53005,0.0,52.01442
69,100,6358.20707,105.3334,0.38471,29,27.37323,1.0,0.0,0.0,0.0,13.0,0.86709,0.45886,0.40823,0.13291,1.0,0,7,0,14,351.04834,0.0,53.01175
70,100,6469.70713,111.50006,0.47826,32,30.32736,1.0,0.0,0.0,0.0,19.0,0.91031,0.47085,0.43946,0.08969,1.0,0,5,0,17,351.58486,0.0,51.05252
71,100,6615.20719,145.50005,0.44194,44,38.42764,0.93793,0.0,0.0,0.06207,27.0,0.97251,0.49828,0.47423,0.02749,1.0,0,2,0,25,313.22706,0.54461,45.08626
72,100,6726.70725,111.50006,0.30421,33,24.42017,0.8349,0.0,0.0,0.1651,13.0,0.91031,0.47085,0.43946,0.08969,1.0,0,5,0,16,223.22047,1.24354,45.99283
73,100,6845.04064,118.33339,0.43156,36,28.512,0.875,0.0,0.0,0.125,14.0,0.93239,0.49296,0.43944,0.06761,1.0,0,4,0,16,255.04868,0.55807,49.94044
74,100,6929.70738,84.66674,0.45368,19,15.048,0.80394,0.0,0.07106,0.125,7.0,0.71653,0.37402,0.34252,0.28346,1.0,0,12,0,10,318.95277,0.87793,49.00421
75,100,6990.37412,60.66674,0.42949,10,7.92,0.875,0.0,0.0,0.125,7.0,0.50549,0.27472,0.23077,0.4945,1.0,0,15,0,4,204.41057,0.3173,50.9861
76,100,7100.54085,110.16673,0.443,30,26.15862,0.83717,0.0,0.10163,0.06119,17.0,0.85477,0.44629,0.40847,0.14523,1.0,0,8,0,15,278.67221,0.35454,50.9716
77,100,7204.87425,104.3334,0.44244,29,27.09225,0.78746,0.0,0.20638,0.00616,15.0,0.88498,0.46326,0.42172,0.11502,1.0,0,6,0,15,372.88696,0.0775,50.01501
78,100,7308.70764,103.8334,0.35888,28,23.92596,0.58311,0.0,0.35107,0.06582,11.0,0.84591,0.44141,0.40449,0.15409,1.0,0,8,0,14,274.58419,0.80997,50.00002
79,100,7389.04105,80.3334,0.43888,20,17.98501,0.59917,0.0,0.38371,0.01712,5.0,0.75104,0.41494,0.3361,0.24896,1.0,0,10,0,7,266.30897,0.13351,55.9669
80,100,7476.25602,87.21497,0.41086,16,14.73285,0.61781,0.0,0.38219,0.0,8.0,0.58094,0.30576,0.27518,0.41906,1.0,0,12,0,8,364.18627,0.0,56.00109
81,100,7573.08034,96.82432,0.4577,13,11.56787,0.47709,0.0,0.52291,0.0,7.0,0.40279,0.20656,0.19623,0.59721,1.0,0,14,0,6,282.74035,0.0,56.99683
